Zaman;Seviye;Kategori;Route;Metot;URL;HTTP;Süre(ms);Mesaj;Request Headers;Response Headers;Response Preview;Response Row Count;Response Total Count;Response Link;Response Keys;Job ID;Kaynak Tipi;Secili Bara ID;YKS Ic Bara ID;Saat Baslangic;Saat Bitis;Chunk Baslangic;Chunk Bitis;Fallback Phase;Hata Sinifi;Istek URL;API Satir;Metrik Bos Satir
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 08:00-09:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T05:00:00Z;2026-04-28T06:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T05%3A00%3A00Z&measurementDate.lessThan=2026-04-28T06%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 09:00-10:00);{};{};;;;;;;;5052;10933818957;2026-04-28T06:00:00Z;2026-04-28T07:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T06%3A00%3A00Z&measurementDate.lessThan=2026-04-28T07%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 07:00-08:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T04:00:00Z;2026-04-28T05:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T04%3A00%3A00Z&measurementDate.lessThan=2026-04-28T05%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 08:00-09:00);{};{};;;;;;;;5052;10933818957;2026-04-28T05:00:00Z;2026-04-28T06:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T05%3A00%3A00Z&measurementDate.lessThan=2026-04-28T06%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 06:00-07:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T03:00:00Z;2026-04-28T04:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T03%3A00%3A00Z&measurementDate.lessThan=2026-04-28T04%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 07:00-08:00);{};{};;;;;;;;5052;10933818957;2026-04-28T04:00:00Z;2026-04-28T05:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T04%3A00%3A00Z&measurementDate.lessThan=2026-04-28T05%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 05:00-06:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T02:00:00Z;2026-04-28T03:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T02%3A00%3A00Z&measurementDate.lessThan=2026-04-28T03%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 06:00-07:00);{};{};;;;;;;;5052;10933818957;2026-04-28T03:00:00Z;2026-04-28T04:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T03%3A00%3A00Z&measurementDate.lessThan=2026-04-28T04%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 04:00-05:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T01:00:00Z;2026-04-28T02:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T01%3A00%3A00Z&measurementDate.lessThan=2026-04-28T02%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 05:00-06:00);{};{};;;;;;;;5052;10933818957;2026-04-28T02:00:00Z;2026-04-28T03:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T02%3A00%3A00Z&measurementDate.lessThan=2026-04-28T03%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 03:00-04:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T00:00:00Z;2026-04-28T01:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T00%3A00%3A00Z&measurementDate.lessThan=2026-04-28T01%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 04:00-05:00);{};{};;;;;;;;5052;10933818957;2026-04-28T01:00:00Z;2026-04-28T02:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T01%3A00%3A00Z&measurementDate.lessThan=2026-04-28T02%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 02:00-03:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-27T23:00:00Z;2026-04-28T00:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T23%3A00%3A00Z&measurementDate.lessThan=2026-04-28T00%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 03:00-04:00);{};{};;;;;;;;5052;10933818957;2026-04-28T00:00:00Z;2026-04-28T01:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T00%3A00%3A00Z&measurementDate.lessThan=2026-04-28T01%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 01:00-02:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-27T22:00:00Z;2026-04-27T23:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T22%3A00%3A00Z&measurementDate.lessThan=2026-04-27T23%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 02:00-03:00);{};{};;;;;;;;5052;10933818957;2026-04-27T23:00:00Z;2026-04-28T00:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T23%3A00%3A00Z&measurementDate.lessThan=2026-04-28T00%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 00:00-01:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-27T21:00:00Z;2026-04-27T22:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T21%3A00%3A00Z&measurementDate.lessThan=2026-04-27T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 01:00-02:00);{};{};;;;;;;;5052;10933818957;2026-04-27T22:00:00Z;2026-04-27T23:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T22%3A00%3A00Z&measurementDate.lessThan=2026-04-27T23%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 00:00-01:00);{};{};;;;;;;;5052;10933818957;2026-04-27T21:00:00Z;2026-04-27T22:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T21%3A00%3A00Z&measurementDate.lessThan=2026-04-27T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28: hibrit YKS ekran araligi basarisiz: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;;;2026-04-27T21:00:00Z;2026-04-28T21:00:00Z;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T21%3A00%3A00Z&measurementDate.lessThan=2026-04-28T21%3A00%3A00Z&size=500&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;2026-04-28: hibrit YKS ekran araligi sorgulanacak: 10933818957;{};{};;;;;;;;5052;10933818957;;;2026-04-27T21:00:00Z;2026-04-28T21:00:00Z;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T21%3A00%3A00Z&measurementDate.lessThan=2026-04-28T21%3A00%3A00Z&size=500&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;2026-04-28: 1 RES/GES ic busbar ID bulundu.;{};{};;;;;;;;;10933818957;;;;;;;;;
01.05.2026 19:34:16;info;Hazirlik;rgdh-monitor;;;;;RGDH YKS sorgusu hazirlandi.;{};{};;;;;;;WIND;5052;10933818957;;;;;;;;;
01.05.2026 19:34:16;warn;Job;rgdh-monitor;;;;;YKS cekim isi tamamlandi (180 sn).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;error;WIND;rgdh-monitor;;;;;2026-04-28: tum aday RES/GES busbar id degerleri basarisiz: 10933818957, 5052;{};{};;;;;;;WIND;5052;10933818957;;;;;;YKS_HOURLY_TIMEOUT;;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;"2026-04-28: 10933818957 aday RES/GES busbar id zaman asimina ugradi; display id probe denenecek.";{};{};;;;;;;;5052;;;;;;;YKS_HOURLY_TIMEOUT;;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28: hibrit RES/GES aday tam gun fallback basarisiz: YKS cekimi 180 sn toplam sure butcesini doldurdu.;{};{};;;;;;;WIND;5052;10933818957;;;;;;YKS_JOB_TIMEOUT;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;2026-04-28: hibrit RES/GES aday tam gun fallback denenecek: 10933818957;{};{};;;;;;;;5052;10933818957;;;;;;;;;
01.05.2026 19:34:16;success;WIND;rgdh-monitor;;;;;Saatlik toplam 0 kayit alindi.;{};{};;;;;;;;5052;10933818957;;;;;;;;0;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;12 RES/GES saatlik YKS istegi zaman asimina ugradi.;{};{};;;;;;;WIND;10933818957;10933818957;2026-04-27T21:00:00Z;2026-04-28T09:00:00Z;;;;YKS_HOURLY_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-27T21%3A00%3A00Z&measurementDate.lessThan=2026-04-27T22%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 11:00-12:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T08:00:00Z;2026-04-28T09:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T08%3A00%3A00Z&measurementDate.lessThan=2026-04-28T09%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 10:00-11:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T07:00:00Z;2026-04-28T08:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T07%3A00%3A00Z&measurementDate.lessThan=2026-04-28T08%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 11:00-12:00);{};{};;;;;;;;5052;10933818957;2026-04-28T08:00:00Z;2026-04-28T09:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T08%3A00%3A00Z&measurementDate.lessThan=2026-04-28T09%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 09:00-10:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T06:00:00Z;2026-04-28T07:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T06%3A00%3A00Z&measurementDate.lessThan=2026-04-28T07%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
01.05.2026 19:34:16;info;WIND;rgdh-monitor;;;;;RES/GES saatlik endpoint sorgulanacak: 10933818957 (2026-04-28 10:00-11:00);{};{};;;;;;;;5052;10933818957;2026-04-28T07:00:00Z;2026-04-28T08:00:00Z;;;;;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T07%3A00%3A00Z&measurementDate.lessThan=2026-04-28T08%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;warn;WIND;rgdh-monitor;;;;;2026-04-28 08:00-09:00 | 10933818957: signal is aborted without reason;{};{};;;;;;;;5052;10933818957;2026-04-28T05:00:00Z;2026-04-28T06:00:00Z;;;;PAGE_FETCH_TIMEOUT;https://yks.teias.gov.tr/api/rgdh-wind-busbar-data?measurementDate.greaterOrEqualThan=2026-04-28T05%3A00%3A00Z&measurementDate.lessThan=2026-04-28T06%3A00%3A00Z&size=60&page=0&sort=measurementDate%2Casc&busbarId.equals=10933818957;;
01.05.2026 19:34:16;error;Page Fetch;rgdh-monitor;;;;;signal is aborted without reason;{};{};;;;;;;;;;;;;;;PAGE_FETCH_TIMEOUT;;;
01.05.2026 19:34:16;info;Page Fetch;rgdh-monitor;;;;;YKS sayfa context tokenli fetch basladi (chunked).;{};{};;;;;;;;;;;;;;;;;;
